conferenceRoom_1, fd, conferenceRoom_1_door
office_22_door, tr, hallway_1-3u
office_23, fd, office_23_door
office_23_door, tl, hallway_2-22d
office_23_door, tr, hallway_2-23u
office_24, fd, office_24_door
office_24_door, s, copyRoom_1
office_24_door, tl, hallway_2-21d
office_24_door, tr, hallway_2-22u
office_25, fd, office_25_door
office_25_door, tl, hallway_2-18d
office_25_door, tr, hallway_2-19u
office_26, fd, office_26_door
office_26_door, tl, hallway_2-11d
office_26_door, tr, hallway_2-12u
office_27, fd, office_27_door
office_27_door, cf, openspace_1-2l
office_27_door, tl, hallway_2-13d
office_27_door, tr, hallway_2-14u
office_28, fd, office_28_door
office_28_door, cf, openspace_1-2l
office_28_door, tl, hallway_2-14d
office_28_door, tr, hallway_2-15u
office_29, fd, office_29_door
office_29_door, tl, hallway_2-17d
office_29_door, tr, hallway_2-18u
office_2_door, tl, hallway_1-5u
office_2_door, tr, hallway_1-6d
office_3, fd, office_3_door
office_30, fd, office_30_door
office_30_door, tl, hallway_2-10d
office_30_door, tr, hallway_2-11u
office_31, cf, hallway_4-1u
office_31, tr, hallway_4-2r
office_31_door, fd, office_31
office_32, fd, office_32_door
office_32_door, cf, hallway_4-3l
office_33, fd, office_33_door
office_33_door, cf, hallway_5-4l
office_33_door, tl, hallway_4-1d
office_33_door, tr, hallway_2-2u
office_34, fd, office_34_door
office_34_door, tl, hallway_2-2d
office_34_door, tr, hallway_2-3u
office_35, fd, office_35_door
office_35_door, s, office_14
office_35_door, tl, hallway_2-3d
office_35_door, tr, hallway_2-4u
office_36, fd, office_36_door
office_36_door, tl, hallway_2-6d
office_36_door, tr, hallway_2-7u
office_37, fd, office_37_door
office_37_door, tl, hallway_2-7d
office_37_door, tr, hallway_2-8u
office_3_door, tl, hallway_1-8u
office_3_door, tr, hallway_1-9d
office_4, fd, office_4_door
office_4_door, tl, hallway_1-9u
office_4_door, tr, hallway_1-10d
office_5, fd, office_5_door
office_5_door, tl, hallway_1-11u
office_5_door, tr, hallway_1-12d
office_6, fd, office_6_door
office_6_door, tl, hallway_1-12u
office_6_door, tr, hallway_1-13d
office_7, fd, office_7_door
office_7_door, tl, hallway_1-15u
office_7_door, tr, hallway_1-16d
office_8, fd, office_8_door
office_8_door, s, office_13
office_8_door, tl, hallway_1-19u
office_8_door, tr, hallway_1-20d
office_9, fd, office_9_door
office_9_door, cf, hallway_5-1r
office_9_door, tl, hallway_1-21u
office_9_door, tr, hallway_1-22d
openspace_1-1l, s_l, office_4
openspace_1-1l, s_r, office_3
openspace_1-1l, tl, hallway_1-10d
openspace_1-1l, tr, hallway_1-8u
openspace_1-1r, cf, openspace_1-2r
openspace_1-2l, cf, openspace_1-1l
openspace_1-2r, s_l, office_28
openspace_1-2r, s_r, office_27
openspace_1-2r, tl, hallway_2-15u
openspace_1-2r, tr, hallway_2-13d
pantry_1, fd, pantry_1_door
pantry_1_door, s, conferenceRoom_1
pantry_1_door, tl, hallway_1-2d
pantry_1_door, tr, hallway_1-1u
