WC_1, fd, WC_1_door
office_24_door, tl, hallway_2-18d
office_24_door, tr, hallway_2-19u
office_25, fd, office_25_door
office_25_door, tl, hallway_2-16d
office_25_door, tr, hallway_2-17u
office_26, fd, office_26_door
office_26_door, tl, hallway_2-15d
office_26_door, tr, hallway_2-16u
office_27, fd, office_27_door
office_27_door, tl, hallway_2-5d
office_27_door, tr, hallway_2-6u
office_28, fd, office_28_door
office_28_door, tl, hallway_2-4d
office_28_door, tr, hallway_2-5u
office_29, fd_l, office_29_door-l
office_29, fd_r, office_29_door-r
office_29_door-l, cf, hallway_14-3l
office_29_door-l, tr, hallway_2-1u
office_29_door-r, tl, hallway_2-2d
office_29_door-r, tr, hallway_2-3u
office_2_door, tl, hallway_10-5u
office_2_door, tr, hallway_10-6d
office_3, fd, office_3_door
office_30, fd, office_30_door
office_30_door, tl, hallway_14-1l
office_30_door, tr, hallway_14-2r
office_31, fd, office_31_door
office_31_door, cf, hallway_12-1u
office_31_door, tl, hallway_4-4l
office_32, fd, office_32_door
office_32_door, tl, hallway_4-3l
office_32_door, tr, hallway_4-4r
office_33, fd, office_33_door
office_33_door, tl, hallway_4-1l
office_33_door, tr, hallway_4-2r
office_34, fd, office_34_door
office_34_door, cf, hallway_11-4u
office_34_door, tr, hallway_4-1r
office_35, fd, office_35_door
office_35_door, tl, hallway_3-2l
office_35_door, tr, hallway_3-3r
office_36, fd, office_36_door
office_36_door, tl, hallway_9-2u
office_36_door, tr, hallway_9-1d
office_37, fd, office_37_door
office_37_door, cf, hallway_3-4l
office_37_door, tl, hallway_11-1d
office_37_door, tr, hallway_9-1u
office_3_door, tl, hallway_10-3u
office_3_door, tr, hallway_10-4d
office_4, fd, office_4_door
office_40, fd, office_40_door
office_40_door, tl, hallway_2-13u
office_40_door, tr, hallway_2-12d
office_41, fd_l, office_41_door-l
office_41, fd_r, office_41_door-r
office_41_door-l, cf, hallway_13-5l
office_41_door-l, tl, hallway_2-7d
office_41_door-l, tr, hallway_2-8u
office_41_door-r, tl, hallway_2-9d
office_41_door-r, tr, hallway_2-10u
office_4_door, tl, hallway_10-2u
office_4_door, tr, hallway_10-3d
office_5, fd, office_5_door
office_5_door, cf, hallway_7-1r
office_5_door, tl, hallway_5-1u
office_5_door, tr, hallway_5-2d
storage_1, fd, storage_1_door
storage_1_door, tl, hallway_12-2d
storage_1_door, tr, hallway_12-3u
storage_2, fd, storage_2_door
storage_2_door, fd, storage_2_door
storage_2_door, tl, hallway_11-2u
storage_2_door, tl, hallway_2-2u
storage_2_door, tr, hallway_11-3d
storage_2_door, tr, hallway_2-1d
storage_4, fd, storage_4_door
storage_4_door, tl, hallway_2-14u
storage_4_door, tr, hallway_2-13d
